arm,window,quota,model,split,seed,rows,accuracy,macro_f1,tail_f1,benign_fpr,predict_seconds,fit_seconds
full_legacy,full,legacy,xgboost_c0,val,42,5504048,0.9341838951985884,0.7762896760074123,0.6810313195019128,0.0009188784561412477,18.448564052581787,5.9463300704956055
full_legacy,full,legacy,xgboost_c0,test,42,5504060,0.8844776401420043,0.6307817581724373,0.14123652773266265,0.0839320232822105,18.768959999084473,5.9463300704956055
