arm,window,quota,model,split,seed,cls,support,predicted,tp,fp,fn,precision,recall,f1
full_legacy,full,legacy,xgboost_c0,val,42,backdoor,40676,40654,40640,14,36,0.9996556304422689,0.9991149572229324,0.9993852207057666
full_legacy,full,legacy,xgboost_c0,val,42,benign,3358442,3657527,3355356,302171,3086,0.9173837951162083,0.9990811215438588,0.9564911133444289
full_legacy,full,legacy,xgboost_c0,val,42,ddos,828251,804755,801439,3316,26812,0.9958794912737416,0.9676281706873883,0.9815505883015739
full_legacy,full,legacy,xgboost_c0,val,42,dos,40691,77894,35802,42092,4889,0.4596246180707115,0.8798505812096041,0.6038200446936797
full_legacy,full,legacy,xgboost_c0,val,42,injection,76355,76953,69460,7493,6895,0.9026288773667044,0.9096981206207845,0.9061497116914968
full_legacy,full,legacy,xgboost_c0,val,42,mitm,1202,3497,992,2505,210,0.2836717186159565,0.8252911813643927,0.4222174930836348
full_legacy,full,legacy,xgboost_c0,val,42,password,318955,318379,317949,430,1006,0.9986494084094742,0.9968459500556505,0.9977468642815227
full_legacy,full,legacy,xgboost_c0,val,42,ransomware,794,885,789,96,5,0.8915254237288136,0.9937027707808564,0.9398451459201906
full_legacy,full,legacy,xgboost_c0,val,42,scanning,271795,483,480,3,271315,0.9937888198757764,0.0017660369028127817,0.0035258081813440674
full_legacy,full,legacy,xgboost_c0,val,42,xss,566887,523021,518886,4135,48001,0.9920940076975877,0.9153252764660329,0.9521647698704845
full_legacy,full,legacy,xgboost_c0,test,42,backdoor,40678,41428,40610,818,68,0.9802549000675871,0.9983283347263877,0.989209071200643
full_legacy,full,legacy,xgboost_c0,test,42,benign,3358444,3369905,3076563,293342,281881,0.9129524422795301,0.9160679767177895,0.9145075560141128
full_legacy,full,legacy,xgboost_c0,test,42,ddos,828252,810429,804673,5756,23579,0.992897588807903,0.9715316111521615,0.9820984071945669
full_legacy,full,legacy,xgboost_c0,test,42,dos,40692,79117,36182,42935,4510,0.4573226992934515,0.889167403912317,0.6039946915507183
full_legacy,full,legacy,xgboost_c0,test,42,injection,76356,90115,69833,20282,6523,0.7749320312933474,0.9145712190266646,0.8389809636513267
full_legacy,full,legacy,xgboost_c0,test,42,mitm,1204,14185,1135,13050,69,0.08001409940077547,0.9426910299003323,0.14750796023133406
full_legacy,full,legacy,xgboost_c0,test,42,password,318956,435966,317756,118210,1200,0.7288550024543198,0.9962377255797038,0.8418247183152696
full_legacy,full,legacy,xgboost_c0,test,42,ransomware,795,10808,783,10025,12,0.07244633604737231,0.9849056603773585,0.13496509523399122
full_legacy,full,legacy,xgboost_c0,test,42,scanning,271796,90,67,23,271729,0.7444444444444445,0.00024650841071980457,0.0004928536224741252
full_legacy,full,legacy,xgboost_c0,test,42,xss,566887,652017,520616,131401,46271,0.7984699785435042,0.9183770310485159,0.8542362647099362
