class,global_pred,rows,wrong,residual_mass,clipped_mass,clipped_rows
benign,benign,1836,0,16118.972310054436,3796.3571690934787,610
benign,reconnaissance,172,172,75816.8705156115,589.0343831992524,172
benign,theft,12,12,5914.987513333967,41.09542208366877,12
ddos,ddos,682652,0,25896.45822705833,25896.45822705833,0
ddos,dos,200666,200666,142553.77258369955,142546.98346989445,115
ddos,reconnaissance,136,136,435.2498562244078,435.2498562244078,0
dos,ddos,52883,52883,102594.28260985257,101895.19138644692,9008
dos,dos,932915,0,21385.588526370397,21385.588526370397,0
reconnaissance,benign,11,11,28.749228057969262,28.749228057969262,0
reconnaissance,reconnaissance,128635,0,886.1894845054343,886.1894845054343,0
theft,reconnaissance,47,47,961330.9552509964,160.9570698277027,47
theft,theft,35,0,12757.725205785071,119.86164774403392,35
