stage,class,rows,global_errors,bank_correctable,taken,helpful,harmful,changed,correctable_recovery,split
top1_no_gates,benign,1056,103,93,1056,93,0,93,1.0,cal
top1_no_gates,ddos,50000,50000,0,50000,0,0,30263,0.0,cal
top1_no_gates,dos,50000,50000,0,50000,0,0,29176,0.0,cal
top1_no_gates,reconnaissance,50000,12,9,50000,0,129,129,0.0,cal
top1_no_gates,theft,33,9,7,33,7,0,7,1.0,cal
pre_only,benign,1056,103,93,0,0,0,0,0.0,cal
pre_only,ddos,50000,50000,0,0,0,0,0,0.0,cal
pre_only,dos,50000,50000,0,0,0,0,0,0.0,cal
pre_only,reconnaissance,50000,12,9,0,0,0,0,0.0,cal
pre_only,theft,33,9,7,0,0,0,0,0.0,cal
raw_verifier_gt0_diagnostic,benign,1056,103,93,916,68,0,68,0.7311827956989247,cal
raw_verifier_gt0_diagnostic,ddos,50000,50000,0,48242,0,0,30248,0.0,cal
raw_verifier_gt0_diagnostic,dos,50000,50000,0,47433,0,0,27287,0.0,cal
raw_verifier_gt0_diagnostic,reconnaissance,50000,12,9,123,0,5,5,0.0,cal
raw_verifier_gt0_diagnostic,theft,33,9,7,5,3,0,3,0.42857142857142855,cal
post_only,benign,1056,103,93,0,0,0,0,0.0,cal
post_only,ddos,50000,50000,0,0,0,0,0,0.0,cal
post_only,dos,50000,50000,0,0,0,0,0,0.0,cal
post_only,reconnaissance,50000,12,9,0,0,0,0,0.0,cal
post_only,theft,33,9,7,0,0,0,0,0.0,cal
both_gates_recomputed,benign,1056,103,93,0,0,0,0,0.0,cal
both_gates_recomputed,ddos,50000,50000,0,0,0,0,0,0.0,cal
both_gates_recomputed,dos,50000,50000,0,0,0,0,0,0.0,cal
both_gates_recomputed,reconnaissance,50000,12,9,0,0,0,0,0.0,cal
both_gates_recomputed,theft,33,9,7,0,0,0,0,0.0,cal
top1_no_gates,benign,7475,1122,505,7475,451,1,473,0.8930693069306931,eval
top1_no_gates,ddos,1425033,1425033,290,1425033,76,0,647062,0.2620689655172414,eval
top1_no_gates,dos,1576325,1575875,538,1576325,530,0,994175,0.9851301115241635,eval
top1_no_gates,reconnaissance,266491,24,24,266491,0,366,369,0.0,eval
top1_no_gates,theft,81,27,25,81,24,0,26,0.96,eval
pre_only,benign,7475,1122,505,0,0,0,0,0.0,eval
pre_only,ddos,1425033,1425033,290,0,0,0,0,0.0,eval
pre_only,dos,1576325,1575875,538,0,0,0,0,0.0,eval
pre_only,reconnaissance,266491,24,24,0,0,0,0,0.0,eval
pre_only,theft,81,27,25,0,0,0,0,0.0,eval
raw_verifier_gt0_diagnostic,benign,7475,1122,505,4110,305,1,318,0.6039603960396039,eval
raw_verifier_gt0_diagnostic,ddos,1425033,1425033,290,1344082,0,0,645656,0.0,eval
raw_verifier_gt0_diagnostic,dos,1576325,1575875,538,1540405,519,0,992122,0.9646840148698885,eval
raw_verifier_gt0_diagnostic,reconnaissance,266491,24,24,401,0,17,18,0.0,eval
raw_verifier_gt0_diagnostic,theft,81,27,25,3,1,0,2,0.04,eval
post_only,benign,7475,1122,505,0,0,0,0,0.0,eval
post_only,ddos,1425033,1425033,290,0,0,0,0,0.0,eval
post_only,dos,1576325,1575875,538,0,0,0,0,0.0,eval
post_only,reconnaissance,266491,24,24,0,0,0,0,0.0,eval
post_only,theft,81,27,25,0,0,0,0,0.0,eval
both_gates_recomputed,benign,7475,1122,505,0,0,0,0,0.0,eval
both_gates_recomputed,ddos,1425033,1425033,290,0,0,0,0,0.0,eval
both_gates_recomputed,dos,1576325,1575875,538,0,0,0,0,0.0,eval
both_gates_recomputed,reconnaissance,266491,24,24,0,0,0,0,0.0,eval
both_gates_recomputed,theft,81,27,25,0,0,0,0,0.0,eval
native_final_policy,benign,7475,1122,505,0,0,0,0,0.0,eval
native_final_policy,ddos,1425033,1425033,290,0,0,0,0,0.0,eval
native_final_policy,dos,1576325,1575875,538,0,0,0,0,0.0,eval
native_final_policy,reconnaissance,266491,24,24,0,0,0,0,0.0,eval
native_final_policy,theft,81,27,25,0,0,0,0,0.0,eval
