expert,class,rows,helpful_available,positive_gain,helpful_and_positive_gain,helpful_passes_oof,scorer_positive,helpful_scorer_positive
1,benign,2390,166,1809,166,165,1797,165
1,ddos,100000,261,35024,261,0,27897,0
1,dos,100000,1061,83286,1061,0,72647,0
1,reconnaissance,100000,0,174,0,0,173,0
1,theft,97,8,97,8,4,6,4
2,benign,2390,146,2384,146,142,2365,142
2,ddos,100000,63,11227,63,0,6307,0
2,dos,100000,2291,13976,2291,0,468,0
2,reconnaissance,100000,0,197,0,0,197,0
2,theft,97,8,97,8,5,10,5
3,benign,2390,167,1498,167,166,1488,166
3,ddos,100000,52,5980,52,0,467,0
3,dos,100000,1564,18410,1564,0,1731,0
3,reconnaissance,100000,0,91,0,0,90,0
3,theft,97,13,97,13,10,10,10
4,benign,2390,194,1273,194,182,1241,182
4,ddos,100000,52,5423,52,0,7,0
4,dos,100000,1541,43930,1541,0,30435,0
4,reconnaissance,100000,0,65,0,0,65,0
4,theft,97,12,97,12,5,6,5
