class,rows,proposed,accepted
benign,3502926,652999,13
bot,41542,2959,791
brute_force,115040,77624,77492
ddos,264872,143193,133106
dos,60594,55097,48654
infiltration,37631,20346,8243
web_attacks,509,10,0
