expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.5678,0.0705,8.4876
2,0.2882,0.0229,7.4199
3,0.3382,0.0,17.0907
4,0.6091,0.1143,8.9599
5,0.4176,0.0013,11.0357
