expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15980,12761,15980,0,0,0,0,0,15980,0
2,1913527,12761,186000,96813,20208,12450,40774,14569,1186,0
3,252,12761,252,0,0,0,0,0,0,252
4,412,12761,412,0,412,0,0,0,0,0
5,18779,12761,18779,4,0,0,18775,0,0,0
