expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,12202,0.8054,1059,1315,0.6018,0.4078
2,12202,0.8279,1184,916,0.5959,0.7934
3,12202,0.6522,3196,1048,0.5362,0.6906
4,12202,0.6918,2780,981,0.5349,0.4361
