a,b,agreement
global,e1,0.5366
global,e2,0.537
global,e3,0.5714
global,e4,0.5068
e1,e2,0.5676
e1,e3,0.6014
e1,e4,0.6765
e2,e3,0.6369
e2,e4,0.5739
e3,e4,0.5894
