variant,macro_f1,tail_f1,accuracy,balanced_acc,log_loss,roc_auc_ovr_macro,f1_benign,f1_bot,f1_brute_force,f1_ddos,f1_dos,f1_infiltration,f1_web_attacks
tabpfn_v3:raw,0.7617009643742342,0.5479745589734256,0.9858455415382213,0.8240834305381267,0.08530842593959337,0.9741833946419904,0.9949524430471496,0.9984209447812827,0.9158737110323685,0.9957670894522238,0.7813898301676202,0.400480608245189,0.24502212389380532
tabpfn_v3:distpfn,0.7609063205699442,0.546185188746158,0.9858751206155232,0.8175277593926932,0.08300042441992377,0.9730543926224632,0.9949642554153775,0.9978048486310457,0.9158737110323685,0.9957937397047087,0.7811569715986805,0.40052247224366205,0.24022824536376605
tabpfn_v3:distpfn_t_scalar,0.6255368665949375,0.3728223914191231,0.9537664107952198,0.7208916823075547,0.22987931438272924,0.9746058197142815,0.9889206556151705,0.9979521526489508,0.4934126090259043,0.9977608005940964,0.7801968266720225,0.11275393351312527,0.007761088095293201
tabpfn_v3:distpfn_t_persample,0.7119332055171338,0.4341522759728979,0.9716751750012552,0.8476294628284256,0.15497400570954434,0.9745755380172696,0.9869444573678808,0.9978920488081041,0.9158737110323685,0.9981110405899598,0.7801464017110323,0.25651788534227177,0.048046893768317875
tabpfn_v3:distpfn_t_readme_literal,0.6249510797883726,0.3716142861546203,0.9533314243643108,0.7204475705253455,0.16430388452286512,0.9745645357407456,0.9886806353865957,0.9979281102438085,0.4934126090259043,0.9975638013770476,0.7801576542652006,0.10907541542394546,0.007839332796106935
tabpfn_v3:saerens_em,0.7099737624917895,0.42765396635924063,0.9842945042074374,0.7889850135168821,0.08019120260709597,0.9727233204411073,0.9941026987753157,0.9977806725527091,0.9158737110323685,0.9957823503208257,0.781095678236294,0.052977391484298204,0.23220383504071448
xgboost:raw,0.7525198905459582,0.5260471657971554,0.9813935175587866,0.8400800822147966,0.0803902504107518,0.9767651271452351,0.9923730697612456,0.9972753357606153,0.9158627718743655,0.9994300101541237,0.7818318846405065,0.3369637226064605,0.24390243902439024
xgboost:distpfn,0.7541905202447013,0.52955305401985,0.9833355455500391,0.8110576010767325,0.07013175691138751,0.9769539453547618,0.9934808542073255,0.9972144174997287,0.9158627718743655,0.999454559523787,0.7818762940478823,0.36989879203395365,0.2215459525258673
xgboost:distpfn_t_scalar,0.7044661824421322,0.4185382484348834,0.958678526136719,0.8498361486843891,0.20016260770921243,0.9763584977392624,0.9790834211202039,0.997167411978834,0.9158627718743655,0.999231682615073,0.7814706561806329,0.17651560976211933,0.08193172356369692
xgboost:distpfn_t_persample,0.7037754222899528,0.41857737470428136,0.9544345499530961,0.8491574939743627,0.16644661022421417,0.9763737382838655,0.9765481820541967,0.997167411978834,0.9158627718743655,0.9992789105886883,0.7790059673995755,0.16172637449233193,0.09683833764167826
xgboost:distpfn_t_readme_literal,0.7059079463122782,0.42269198962050175,0.9589566688888259,0.8484572704712171,0.16335768218754157,0.9763684633542259,0.9792576193288557,0.997167411978834,0.9158627718743655,0.9991220965467242,0.7790371675744954,0.17622594776436665,0.09468260911830466
xgboost:saerens_em,0.7645477769639488,0.5530569796704975,0.9868286108720757,0.7966501355422752,0.0564852944076081,0.9770050980502274,0.9954833267305091,0.9972144174997287,0.9158336020638503,0.999454559523787,0.7818920114180035,0.4576381199648734,0.2043184015468901
