true_class,backdoor,benign,ddos,dos,injection,scanning,unseen,xss
backdoor,40558,78,2,0,0,0,34,6
benign,3,86752,3374,327,678,539,2608,5719
ddos,0,141,99422,55,138,0,28,216
dos,0,1306,0,35464,1,0,550,3371
injection,0,1541,1306,1319,68744,3,1305,2138
mitm,0,396,15,15,4,0,770,4
ransomware,0,88,22,0,0,0,669,16
scanning,0,56538,278,12,8,42779,354,31
unseen,0,38273,3866,7,44928,0,11167,1759
xss,0,1488,369,2724,289,21,328,94781
