true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
backdoor,target known,stealth_malware,40678,0.002261664781946015,0.9970500024583313,0.0004424996312503073,0.0002458331284723929,0.9979841683465264
ddos,target known,flood,100000,0.00046,0.98831,0.00395,0.00728,1.00682
dos,target known,flood,40692,0.01965988400668436,0.8813526000196599,0.08316130934827484,0.01582620662538091,0.9961663226186965
injection,target known,application,76356,0.019592435434019593,0.9401487767824401,0.0344963067735345,0.0057624810100057626,0.9861700455759862
mitm,target known,stealth_malware,1204,0.9169435215946844,0.0,0.08305647840531562,0.0,0.08305647840531562
ransomware,target known,stealth_malware,795,0.9358490566037736,0.0,0.05911949685534591,0.005031446540880503,0.06918238993710692
scanning,target known,probe_access,100000,0.56688,0.42777,0.00512,0.00023,0.43335
xss,target known,application,100000,0.00398,0.961,0.0212,0.01382,1.00984
unseen::password,target unseen,,100000,0.20309,,0.78841,0.0085,0.80541
benign_diagnostic,benign diagnostic,,100000,0.11214,,0.76508,0.12278,1.01064
