true_class,owner_expert,intruding_expert,false_accept_count,true_class_test_support,owner_also_in_rate,owner_lower_energy_rate,resolvable_by_argmin_rate,mean_owner_energy,owner_threshold,mean_intruder_energy,intruder_threshold
dos,flood,application,4028,40692,0.15988083416087387,0.6328202581926514,0.15988083416087387,-0.936403751373291,-1.1289479732513428,-0.6813251972198486,-0.2134031057357788
xss,application,flood,3481,100000,0.3970123527721919,0.021832806664751507,0.021832806664751507,-0.25533515214920044,-0.2134031057357788,-1.3738352060317993,-1.1289479732513428
injection,application,flood,3071,76356,0.14327580592640835,0.02377075871051775,0.02377075871051775,1.454140067100525,-0.2134031057357788,-2.195570945739746,-1.1289479732513428
ddos,flood,application,1123,100000,0.6482635796972396,0.6651825467497774,0.6331255565449688,-1.8046103715896606,-1.1289479732513428,-1.1110343933105469,-0.2134031057357788
scanning,probe_access,flood,439,100000,0.004555808656036446,0.979498861047836,0.004555808656036446,-4.099730968475342,-4.97802734375,-2.3017239570617676,-1.1289479732513428
scanning,probe_access,application,117,100000,0.0,0.8803418803418803,0.0,-3.9763286113739014,-4.97802734375,-1.6994495391845703,-0.2134031057357788
mitm,stealth_malware,flood,84,1204,0.0,0.9880952380952381,0.0,-3.958580493927002,-5.570828437805176,-1.5958505868911743,-1.1289479732513428
ransomware,stealth_malware,flood,31,795,0.0,1.0,0.0,-4.026163578033447,-5.570828437805176,-2.883784532546997,-1.1289479732513428
ransomware,stealth_malware,application,24,795,0.0,1.0,0.0,-3.559389114379883,-5.570828437805176,-1.24478280544281,-0.2134031057357788
backdoor,stealth_malware,application,22,40678,0.0,1.0,0.0,-3.365556240081787,-5.570828437805176,-1.3135110139846802,-0.2134031057357788
xss,application,probe_access,21,100000,0.0,0.0,0.0,2.882136821746826,-0.2134031057357788,-5.290595531463623,-4.97802734375
backdoor,stealth_malware,flood,16,40678,0.0,1.0,0.0,-3.4016714096069336,-5.570828437805176,-1.586403727531433,-1.1289479732513428
mitm,stealth_malware,application,16,1204,0.0,1.0,0.0,-4.06151819229126,-5.570828437805176,-0.8184224367141724,-0.2134031057357788
injection,application,probe_access,3,76356,0.0,0.0,0.0,2.821035146713257,-0.2134031057357788,-5.305756568908691,-4.97802734375
