class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__probe_access (owner↑/non-owner↓),in_rate__application (owner↑/non-owner↓),in_rate__stealth_malware (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
benign,benign,False,True,100000,,,,0.4498926163819675,0.90495,0.6010001726725729,,0.90495,0.6389475,0.74125,0.00539,0.69754,3e-05,0.90495
ddos,flood,False,False,100000,0.9879509701751774,0.99541,0.9916664591168339,0.9760984320728429,0.99482,0.9853702988341801,-0.006296160282653784,0.99559,0.9842925,0.99559,0.0,0.01123,0.0,0.0516
scanning,probe_access,False,True,100000,0.9996298371283364,0.99919,0.9994098701714377,0.9994392916384366,0.42779,0.5991330714340736,-0.4002767987373641,0.42779,0.7501825,0.00439,0.42779,0.00117,0.0,0.99371
xss,application,False,False,100000,0.9107489043449499,0.99125,0.9492958690666016,0.9261508829474808,0.97131,0.9481930533591051,-0.001102815707496485,0.97482,0.9849074999999999,0.03481,0.00021,0.97482,0.0,0.02535
injection,application,False,False,76356,0.9957037984539235,0.9379092671171879,0.9659428108983005,0.9918901969727203,0.9114280475666614,0.949958366890075,-0.015984444008225518,0.9459112577924459,0.9844936874639845,0.040219498140290216,3.928964325003929e-05,0.9459112577924459,0.0,0.021766462360521766
dos,flood,False,False,40692,0.9400948825197204,0.8229873193748157,0.8776518377776322,0.8845920864529573,0.8971788066450408,0.8908409892268462,0.013189151449213954,0.8971788066450408,0.9671127002850682,0.8971788066450408,0.0,0.09898751597365575,0.0,0.032561682886070975
backdoor,stealth_malware,True,False,40678,0.9998523985239852,0.9991641673631939,0.9995081644698013,1.0,0.9970500024583313,0.9985228223940125,-0.0009853420757888198,0.9970500024583313,0.9990658341118048,0.0003933330055558287,0.0,0.0005408328826392645,0.9970500024583313,0.0028024976645852793
mitm,stealth_malware,True,False,1204,0.8771929824561403,0.872093023255814,0.8746355685131195,0.0,0.0,0.0,-0.8746355685131195,0.0,0.896594684385382,0.06976744186046512,0.0,0.013289036544850499,0.0,0.33056478405315615
ransomware,stealth_malware,True,False,795,0.9782330345710627,0.9610062893081761,0.9695431472081218,0.0,0.0,0.0,-0.9695431472081218,0.0,0.9550314465408805,0.0389937106918239,0.0,0.03018867924528302,0.0,0.11069182389937107
macro_avg,,,,459725,0.9611758510216619,0.9473762583023985,0.953456715902731,0.7222713612605547,0.6499471070837541,0.6715023252672865,-0.28195439063544453,,,,,,,
tail_macro_avg,,,,42677,0.9517594718503961,0.9440878266423947,0.9478956267303476,0.3333333333333333,0.33235000081944377,0.33284094079800414,-0.6150546859323435,,,,,,,
weighted_avg,,,,459725,0.9714962267433933,0.9704649518734025,0.9701190903868795,0.9627047685635299,0.8397433248137474,0.8758990186045068,-0.09422007178237267,,,,,,,
