role,branch,count,share_of_role,accuracy
known,all_out,4038,0.008783511882103431,0.0
known,argmin,55973,0.12175322203491218,0.8941096600146499
known,owner_only,399714,0.8694632660829844,0.8298483415642184
known,ALL,459725,1.0,0.8303833813692969
unseen,all_out,11167,0.11167,1.0
unseen,argmin,32934,0.32934,0.0
unseen,owner_only,55899,0.55899,0.0
unseen,ALL,100000,1.0,0.11167
benign,all_out,2608,0.02608,0.0
benign,argmin,82787,0.82787,0.9535555099230556
benign,owner_only,14605,0.14605,0.5347483738445737
benign,ALL,100000,1.0,0.86752
