class,train_support,best_expert,aff_head,aff_balanced,aff_tail
benign,401622,head,0.9991287857120856,0.9988977819236236,0.9991045853151992
bot,347,balanced,0.9365482233502538,0.9796954314720813,0.9416243654822335
ddos,22624,head,0.9998828353837141,0.9998437805116188,0.9996875610232376
dos-goldeneye,1819,tail,0.9970845481049563,0.9975704567541303,0.9980563654033042
dos-hulk,40667,head,0.9995871808799566,0.9993481803367735,0.9987615426398696
dos-slowhttptest,972,head,0.990909090909091,0.990909090909091,0.990909090909091
dos-slowloris,1024,tail,0.9905090595340811,0.993960310612597,0.9956859361518551
ftp-patator,1403,balanced,0.9987397605545053,0.9993698802772527,0.9993698802772527
heartbleed,2,head,1.0,1.0,1.0
infiltration,7,balanced,0.5714285714285714,0.7142857142857143,0.14285714285714285
portscan,28086,balanced,0.9994966337381237,0.999528094129491,0.9993393317812873
ssh-patator,1042,tail,0.9966101694915255,0.997457627118644,0.9983050847457627
web-attack-�-brute-force,266,tail,0.813953488372093,0.7906976744186046,0.8172757475083057
web-attack-�-sql-injection,4,balanced,0.0,0.25,0.0
web-attack-�-xss,115,tail,0.33587786259541985,0.33587786259541985,0.3435114503816794
