class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1,_footer
normal,37000,0.9666210201985621,0.990285340884339,0.7631081081081081,0.6143783783783784,0.8528923123395258,0.7583020598782421,-0.09459025246128372,
generic,18871,0.9958646207421917,0.9983078602620087,0.9698479147898893,0.9691590270785861,0.9826840989019839,0.9835175176790084,0.000833418777024475,
exploits,11132,0.6030090397623111,0.810667310244962,0.856899029823931,0.6034854473589651,0.7078772587288041,0.6918996858746589,-0.01597757285414525,
fuzzers,6062,0.3128932210899424,0.2608835238217542,0.5824810293632464,0.6702408446057406,0.40710209258084973,0.37557774080236644,-0.031524351778483284,
dos,4089,0.5334394904458599,0.5547169811320755,0.08192712154561017,0.1078503301540719,0.14203943184227263,0.18058968058968058,0.03855024874740795,
reconnaissance,3496,0.9292530437643962,0.8602556653108657,0.8077803203661327,0.8469679633867276,0.8642693190512625,0.8535601037763044,-0.01070921527495805,
analysis,677,0.05820476858345021,0.02767017155506364,0.12259970457902511,0.14771048744460857,0.07893485496909178,0.04660918200885574,-0.032325672960236036,
backdoor,583,0.05602409638554217,0.06284409829461528,0.1595197255574614,0.8027444253859348,0.08292465448060633,0.11656288916562889,0.033638234685022556,
shellcode,378,0.3567251461988304,0.20021762785636563,0.8068783068783069,0.9735449735449735,0.49472830494728304,0.33212996389891697,-0.16259834104836607,
worms,44,0.59375,0.5833333333333334,0.4318181818181818,0.7954545454545454,0.5,0.6730769230769231,0.17307692307692313,
macro avg,82332,0.5405784447171087,0.5349181912695382,0.5582859442829893,0.6531536422792531,0.5113452327841679,0.5011825746750586,-0.010162658109109324,True
weighted avg,82332,0.8360094597662434,0.8686520544867132,0.7684253996016129,0.6822984987611136,0.7817405840036505,0.7357195656345293,-0.0460210183691212,True
