dataset,baseline_macro_f1,dce_macro_f1,delta
cifar10lt,0.1718022410516638,0.19381112492682004,0.022008883875156232
unswnb15,0.5113452327841679,0.5011825746750586,-0.010162658109109324
cic2017,0.8565373221689214,0.8771910568576227,0.020653734688701242
