class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1,_footer
class_0,1000,0.22639101582440022,0.25935828877005346,0.887,0.873,0.3607157381049207,0.3999083829592304,0.03919264485430973,
class_1,1000,0.31043956043956045,0.3180561043065982,0.791,0.805,0.4458850056369786,0.45596148399886716,0.010076478361888574,
class_2,1000,0.23863636363636365,0.23902218198279765,0.504,0.528,0.32390745501285345,0.32907447803053913,0.005167023017685679,
class_3,1000,0.272140221402214,0.26814814814814814,0.295,0.362,0.28310940499040305,0.3080851063829787,0.024975701392575655,
class_4,1000,0.45901639344262296,0.4441687344913151,0.112,0.179,0.18006430868167203,0.2551674982181041,0.07510318953643205,
class_5,1000,0.6538461538461539,0.711340206185567,0.051,0.069,0.09461966604823747,0.12579762989972654,0.031177963851489063,
class_6,1000,1.0,0.7428571428571429,0.011,0.026,0.021760633036597428,0.050241545893719805,0.028480912857122377,
class_7,1000,0.8,0.7777777777777778,0.004,0.007,0.007960199004975124,0.013875123885034688,0.005914924880059564,
class_8,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
class_9,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
macro avg,10000,0.39604697085913154,0.37607285845194005,0.26549999999999996,0.28490000000000004,0.1718022410516638,0.19381112492682004,0.022008883875156232,True
weighted avg,10000,0.39604697085913154,0.37607285845194,0.2655,0.2849,0.1718022410516638,0.19381112492682007,0.02200888387515626,True
