class,train_support,best_expert,aff_head,aff_balanced,aff_tail
class_0,4000,tail,0.853,0.836,0.873
class_1,2397,head,0.8133333333333334,0.8066666666666666,0.7916666666666666
class_2,1437,balanced,0.5069637883008357,0.5153203342618384,0.4428969359331476
class_3,861,head,0.38425925925925924,0.33796296296296297,0.25925925925925924
class_4,516,balanced,0.2248062015503876,0.26356589147286824,0.2248062015503876
class_5,310,balanced,0.025974025974025976,0.09090909090909091,0.07792207792207792
class_6,186,tail,0.043478260869565216,0.043478260869565216,0.08695652173913043
class_7,111,head,0.0,0.0,0.0
class_8,66,head,0.0,0.0,0.0
class_9,40,head,0.0,0.0,0.0
