round,gamma,seconds,macro_f1,tail_f1,f1_benign,f1_bot,f1_brute_force,f1_ddos,f1_dos,f1_infiltration,f1_web_attacks
1,0.8149900955676622,66.78852939605713,0.7243824586735983,0.4910872966019124,0.9922554965226935,0.9870647487227798,0.9157533946648726,0.969215634150175,0.7201907955717097,0.32736523225104863,0.15883190883190884
2,0.20950212012953404,66.52149319648743,0.72794587785674,0.498081404533477,0.9930856178808346,0.99115881389849,0.9157606856660603,0.9754070062355226,0.7171236216143321,0.3442534908700322,0.15883190883190884
3,0.5170730118311033,66.35986065864563,0.7301368577808613,0.4981842128439467,0.9938283200413689,0.9907022414023008,0.9157752680167359,0.9848985785323605,0.7219031993437244,0.3450184882976306,0.15883190883190884
4,0.863050994063829,66.21266078948975,0.7418097507597807,0.5141325261049216,0.9941525503690644,0.9950390478834478,0.9158226638639404,0.9907919108637214,0.7495035519069748,0.35061542641004745,0.19674310402126952
5,0.4347459418492139,66.5321135520935,0.7391988776830797,0.510304947392136,0.9938098221732542,0.994722795831371,0.9158226638639404,0.9919473860385856,0.741897429529368,0.33957962522248664,0.19661242112255065
6,0.06769272280464032,66.87737107276917,0.654908112509385,0.5071818657303394,0.9935949836729722,0.9947102726987271,0.493370610689522,0.9919377385727572,0.5839078574394251,0.33022290336974025,0.19661242112255065
7,-0.005537138728743881,66.5301878452301,0.6549610522534086,0.5073037192002174,0.9936029944893788,0.9947102726987271,0.493370610689522,0.9919377385727572,0.583904864421549,0.3305884637793746,0.19661242112255065
8,0.01683750863883882,66.49288082122803,0.6547064079990175,0.5067359390385495,0.9935424112955775,0.9946859903381643,0.493370610689522,0.9919396558282488,0.5838843610641242,0.32890940565493365,0.19661242112255065
9,-0.011095970095099402,66.39538216590881,0.6549170409820849,0.5072086924217736,0.9936015749094746,0.9947102726987271,0.493370610689522,0.9919396558282488,0.5838813681820278,0.33030338344404303,0.19661242112255065
10,-0.029961095135165212,66.486985206604,0.738867086090442,0.5095530159326337,0.9938063829611867,0.9947102726987271,0.9158263099015459,0.9919281521859036,0.7418497097865561,0.3373363539766234,0.19661242112255065
