round,n_sampled,n_classes_present,ess_w,n_benign,n_bot,n_brute_force,n_ddos,n_dos,n_infiltration,n_web_attacks,wmass_benign,wmass_bot,wmass_brute_force,wmass_ddos,wmass_dos,wmass_infiltration,wmass_web_attacks
1,500,7,99999.99999999994,369,25,22,24,28,31,1,0.75,0.04848,0.04848,0.04848,0.04848,0.04847,0.0076100000000000004
2,500,7,92032.09812994371,366,16,18,23,27,46,4,0.6975546893699052,0.04138630749865933,0.049945189078516555,0.04501514584722464,0.06176833713601136,0.09201443471884006,0.012315896350807022
3,500,7,58844.04423097063,274,19,27,32,36,99,13,0.5897016232779364,0.0338889766290094,0.048976556240774224,0.04157160801768852,0.08418432235407121,0.17999354191801126,0.021683371562481474
4,500,7,26452.57134675962,214,15,19,17,56,161,18,0.42982436603553553,0.024608605455647574,0.042403925568697765,0.035525589625698906,0.10775618594360314,0.3237265093223387,0.036154818048444115
5,500,7,12769.8357766862,123,10,23,14,52,253,25,0.26969669012932623,0.014849931541680043,0.036861387959999214,0.02770961664665042,0.10562071828978761,0.49647259581862735,0.0487890596139577
6,500,7,7746.464771740556,81,1,12,11,51,304,40,0.1491403155794045,0.007729875504842133,0.029479299436555483,0.02300744733294007,0.08752979413017907,0.6427854774553521,0.06032779056078113
7,500,7,5700.654423664266,41,5,9,11,28,378,28,0.07558827359779702,0.0035968114681697257,0.02168762093154198,0.021400388686930356,0.06539928852424833,0.7419327042737328,0.07039491251755486
8,500,6,4746.500577489678,18,0,13,9,23,400,37,0.03692178573395763,0.0015549631540222317,0.014959488024071012,0.02162273815461564,0.04648319319588597,0.799984391131584,0.07847344060588272
9,500,6,4229.924802603903,8,0,9,10,19,416,38,0.018795219861042472,0.0006502202020028103,0.010039584527629422,0.022797525127008157,0.03227868508098577,0.8301388175907313,0.08529994761059362
10,500,6,3947.8178322926606,9,1,0,11,13,419,47,0.013842083956086108,0.0006070527014727896,0.006639691469011734,0.024402513724980437,0.022504695219616073,0.8414879920192473,0.09051597090958402
11,500,6,3766.92267124176,5,0,2,13,14,416,50,0.013065875071711738,0.0005881785295315704,0.004087524967836643,0.025722119865607556,0.016526761994776134,0.8454506096832031,0.09455892988734083
12,500,7,3608.25492756655,4,1,1,12,9,419,54,0.01290159300679393,0.0005798171999845977,0.002560499474641891,0.02712656406322606,0.012380299304945542,0.8456087476004324,0.09884247934997464
13,500,5,3458.612136466537,5,0,0,12,5,432,46,0.012859259684446518,0.0005771128962573733,0.001643394350140244,0.028616472201402395,0.009471804208145473,0.8434615825912322,0.10337037406837779
14,500,5,3333.738796034336,9,0,0,12,5,416,58,0.012826389049601039,0.0005759148811231983,0.0010500834796562139,0.02993631592618854,0.007548386350999645,0.8406825938025313,0.10738031650990262
15,500,5,3219.382085393794,8,0,0,17,3,421,51,0.012821860340724134,0.0005752323300991387,0.0006954765294266709,0.031221420919128308,0.00623173651626794,0.8371458930114482,0.1113083803529063
16,500,6,3112.202256667279,6,0,2,19,2,426,45,0.012827584947172819,0.0005747581867289835,0.0005741567682970134,0.032495295326444115,0.005329665642319678,0.8329752354114746,0.11522330371755679
17,500,5,2998.0618709711134,8,0,0,14,4,421,53,0.012861463839194245,0.0005744814806023547,0.0005741348551930038,0.03394273320066738,0.004777087217198638,0.827567121481581,0.11970297792556185
18,500,5,2897.6414198319303,10,0,0,13,2,425,50,0.012883800253517578,0.0005742869923443343,0.0005741093698604969,0.03526443938403326,0.004390789704969536,0.8225370083091947,0.12377556598607937
19,500,5,2801.01473503971,8,0,0,20,2,420,50,0.012907960461407603,0.0005741760842666444,0.0005741061488697024,0.036587848884068935,0.004121662395590244,0.8173714177952476,0.12786282823055514
20,500,6,2703.7478193201337,9,0,1,18,2,403,67,0.012943391721013504,0.0005741158195863723,0.0005741131874083736,0.03798052951007464,0.003937656598987025,0.8118238395201307,0.13216635364279505
21,500,7,2609.029016812853,6,1,1,14,4,404,70,0.012980066265897375,0.0005741131869216342,0.0005741131869216342,0.039396532162620415,0.00381472005313902,0.8061187754912971,0.13654167965320158
22,500,5,2524.2691298474824,6,0,0,20,1,411,62,0.013006278285882807,0.0005740853134066197,0.0005740853134066197,0.04071475398902848,0.0037479213447470534,0.8007834915417219,0.14059938421180626
23,500,5,2443.196967031208,10,0,0,18,1,390,81,0.013031225143915083,0.0005740591047630472,0.0005740591047630472,0.04202930746586454,0.0037458652407404637,0.7954043038742558,0.14464118006569643
24,500,6,2360.0973443273924,6,0,1,17,1,411,64,0.013059975509702481,0.0005740695432217306,0.0005740695432217306,0.04343727455186784,0.003755369757404458,0.7896398598681498,0.14895938122643115
