class,winner,rows
brute_force,bf_bot,799
bot,bf_bot,793
ddos,flood,784
benign,benign,755
infiltration,benign,546
dos,flood,509
web_attacks,tail,335
dos,bf_bot,286
infiltration,flood,204
web_attacks,flood,137
infiltration,tail,50
benign,tail,40
web_attacks,benign,37
ddos,benign,10
ddos,bf_bot,6
bot,benign,5
dos,tail,5
benign,flood,4
bot,tail,2
benign,bf_bot,1
brute_force,tail,1
