true_class,pre,post,rows
benign,benign,benign,529
infiltration,benign,benign,512
web_attacks,tail,tail,227
benign,benign,tail,37
infiltration,benign,tail,36
web_attacks,benign,benign,15
infiltration,tail,tail,6
dos,tail,tail,4
benign,tail,tail,3
bot,benign,benign,1
bot,tail,benign,1
bot,benign,tail,1
bot,tail,tail,1
dos,benign,tail,1
