expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15394,12761,15394,0,0,0,0,0,15376,18
2,1931004,12761,186000,147438,8803,18742,5794,5223,0,0
3,993,12761,993,706,0,0,0,0,53,234
4,439,12761,439,0,0,0,439,0,0,0
5,3278,12761,3278,0,0,0,0,0,3278,0
