true_class,Benign,DoS,DDoS_Scan,BruteForce,WebBot,Tail
benign,0.1978734751058492,0.13884926487106822,0.19370340009961498,0.1966380373298022,0.13828809621767738,0.1346477263759849
dos-hulk,0.17931717117793336,0.18864483090394119,0.18814089493378258,0.18910681805027238,0.11943334764571362,0.13535693728835574
portscan,0.17446816141034532,0.14853534384857592,0.1990597648355672,0.19764833074652377,0.15480026764237612,0.12548813151661245
ddos,0.1887654990262332,0.18004284832602474,0.2003779798049792,0.1971624202248425,0.11508052953808842,0.11857072307982965
dos-goldeneye,0.17206414477271204,0.18044007821313715,0.18375184840778583,0.1860529554226118,0.12924560746652508,0.1484453657172282
ftp-patator,0.17880478135129976,0.13408290250237012,0.1897879207156043,0.19643240053781452,0.14487612020581941,0.1560158746870915
ssh-patator,0.17520262808324252,0.13042025332608181,0.1968333539381848,0.20004017783654732,0.13858888533541056,0.15891470148053263
dos-slowloris,0.17060251868607026,0.17906661063766918,0.18423247185829103,0.18849799659910807,0.12942263242778226,0.14817776979107936
dos-slowhttptest,0.1686124675577997,0.17723802084100185,0.1875811186760818,0.19089601312867643,0.12627614816897487,0.14939623162746485
bot,0.1456343311683254,0.14269166717931192,0.19074184202628475,0.19329583918476198,0.18179332489446678,0.14584299554684926
web-attack-�-brute-force,0.17162023497778978,0.1338310341291764,0.19879922090574204,0.20039202062698416,0.13630101139715453,0.15905647796315286
web-attack-�-xss,0.1739623813457629,0.13170779072970284,0.20115695861995128,0.20318614293525467,0.12961061401720766,0.16037611235212065
infiltration,0.1492202178621705,0.12137103957652617,0.2182638200850145,0.21891905214990232,0.12497851142531888,0.16724735890106768
web-attack-�-sql-injection,0.15784083956390205,0.15383361161301903,0.19961017919236956,0.1982896692939753,0.13743811983521106,0.15298758050152295
heartbleed,0.1543916256849867,0.11864243398908692,0.20909179110106751,0.21923886122179242,0.13556136785276932,0.1630739201502971
