true_group,act_benign,act_flood,act_bf_bot,act_tail
benign,0.9585,0.0002,0.0001,0.0413
flood,0.0053,0.8201,0.1736,0.0009
bf_bot,0.0,0.0,0.9985,0.0014
tail,0.6543,0.0014,0.0006,0.3437
