class,margin_p10,margin_p50,margin_p90
benign,0.874,2.66,5.988
bot,9.497,11.355,12.373
brute_force,0.431,0.431,9.316
ddos,5.657,8.722,13.111
dos,0.431,6.237,9.155
infiltration,0.478,1.706,2.474
web_attacks,1.459,6.443,6.978
