class,calibration,true_expert,correct_activation,act_benign,act_flood,act_bf_bot,act_tail
benign,raw,benign,0.95848,0.9585,0.0002,0.0001,0.0413
benign,cal,benign,0.68822,0.6882,0.0,0.0,0.3118
bot,raw,bf_bot,0.9969669250397188,0.0001,0.0,0.997,0.0029
bot,cal,bf_bot,0.9815126859563815,0.0005,0.0,0.9815,0.018
brute_force,raw,bf_bot,0.9998,0.0,0.0,0.9998,0.0002
brute_force,cal,bf_bot,0.3258,0.0,0.6726,0.3258,0.0016
ddos,raw,flood,0.99644,0.0027,0.9964,0.0,0.0009
ddos,cal,flood,0.97868,0.0163,0.9787,0.0,0.005
dos,raw,flood,0.64384,0.0079,0.6438,0.3472,0.001
dos,cal,flood,0.97126,0.0097,0.9713,0.0,0.0191
infiltration,raw,tail,0.33637160851425685,0.662,0.001,0.0006,0.3364
infiltration,cal,tail,0.7280433684993756,0.2717,0.0002,0.0,0.728
web_attacks,raw,tail,0.8840864440078585,0.0845,0.0314,0.0,0.8841
web_attacks,cal,tail,0.9390962671905697,0.0511,0.0098,0.0,0.9391
