class,winner,rows
brute_force,bf_bot,799
bot,bf_bot,793
benign,benign,792
ddos,flood,784
infiltration,benign,582
dos,flood,509
web_attacks,tail,335
dos,bf_bot,286
infiltration,flood,204
web_attacks,flood,137
web_attacks,benign,37
infiltration,tail,14
ddos,benign,10
ddos,bf_bot,6
bot,benign,5
benign,flood,4
dos,tail,4
benign,tail,3
bot,tail,2
benign,bf_bot,1
brute_force,tail,1
dos,benign,1
