epoch,loss_valid,acc_valid,f1_valid,auc_valid
0,2.3412688,0.8179434228209919,0.8025846720015821,0.916554809740772
1,2.0248678,0.8193529353918773,0.801560663398672,0.9246030603315489
2,2.0888216,0.8229258858622611,0.8064348803148617,0.9232987373100405
3,2.0743892,0.8238437080014422,0.8077975049447295,0.9236596870555086
4,2.0336342,0.8257121316419183,0.8095357317593976,0.9231182481384427
5,1.9810398,0.8261054839872816,0.8101443848855275,0.9289031942565982
6,2.0322912,0.8262366014357361,0.8103355801237143,0.9284846169305909
7,2.1938584,0.7653653259907562,0.7094493090219356,0.9220202983572838
8,2.175734,0.7625790802110991,0.7075025904447115,0.9225112724739365
9,2.1020987,0.7677909987871636,0.7154828811696301,0.9220470545261577
10,2.1085892,0.7672009702691186,0.7131900181344245,0.9240264329069221
11,2.026289,0.7671354115448913,0.7130819079726753,0.9255102197050812
12,2.029039,0.7719867571377061,0.722883887390666,0.9268108999718232
13,1.8846998,0.7589733503786016,0.7000199436887219,0.9228348549751104
14,1.8568972,0.7717245222407972,0.7190130365974868,0.921615083562506
15,1.8017808,0.7716589635165699,0.7196698467756995,0.9203894044820137
16,1.8871626,0.760972891467532,0.7074525759246763,0.9199026189010989
17,1.84925,0.7723801094830695,0.7208034287524467,0.9234251283056261
18,1.8027565,0.8241715016225785,0.8079357013732418,0.9248779377007607
19,1.9741479,0.8261054839872816,0.8101029075180315,0.9276404874528036
20,2.1150608,0.7762808535745894,0.7236901683513116,0.9266374623405651
