metric,value
baseline_macro_f1,0.8695224114035467
moe_macro_f1,0.12984866059856828
baseline_weighted_f1,0.9992916231556906
moe_weighted_f1,0.8757804365340812
test_binary_attack_rate,0.12681633382898228
test_benign_by_binary_rate,0.873174255114909
test_all_reject_rate,0.00022351258258201736
test_multi_accept_rate,0.09420702441227954
select_mode,tta_confidence_v2
threshold_mode,hard_negative
threshold_quantile,0.05
external_ood_data,
sc_ood_data,
threshold_DoS_Like_Known,4.6454572677612305
threshold_Credential_Web_Like_Known,1.494188904762268
threshold_Rare_Fallback_Known,1.8922754526138306
