class,support,prec_baseline,prec_moe,recall_baseline,recall_moe,f1_baseline,f1_moe,delta_f1
normal,371478,0.9999757658006979,0.9996928928950501,0.9997011936103888,0.9989609075100006,0.9998384608550267,0.9993267661616515,-0.0005116946933751976
dos-hulk,46025,0.9985237609361093,0.9791666666666666,0.9993481803367735,0.0010211841390548614,0.9989358005386152,0.0020402404879213422,-0.9968955600506938
dos-goldeneye,2059,0.9828162291169451,0.03708765608498478,1.0,0.8698397280233123,0.9913336543090997,0.07114200595829195,-0.9201916483508077
ftp-patator,1587,0.9987413467589679,0.3059528411287205,1.0,0.9974795211090107,0.9993702770780857,0.46827392397574324,-0.5310963531023425
ssh-patator,1179,1.0,0.0,1.0,0.0,1.0,0.0,-1.0
dos-slowloris,1159,0.9904926534140017,0.0,0.9887834339948232,0.0,0.9896373056994818,0.0,-0.9896373056994818
dos-slowhttptest,1100,0.978494623655914,0.0,0.9927272727272727,0.0,0.9855595667870036,0.0,-0.9855595667870036
web-attack-brute-force,302,0.7749077490774908,0.0,0.695364238410596,0.0,0.7329842931937173,0.0,-0.7329842931937173
web-attack-xss,130,0.4093567251461988,0.2,0.5384615384615384,0.007692307692307693,0.46511627906976744,0.014814814814814815,-0.4503014642549526
infiltration,7,0.7777777777777778,0.0,1.0,0.0,0.875,0.0,-0.875
web-attack-sql-injection,4,0.5,0.0,0.5,0.0,0.5,0.0,-0.5
heartbleed,2,1.0,0.003401360544217687,1.0,0.5,1.0,0.006756756756756757,-0.9932432432432432
