class,support,prec_baseline,prec_moe,recall_baseline,recall_moe,f1_baseline,f1_moe,delta_f1
normal,371478,0.9999838437801246,0.9997333160931616,0.9997038855598447,0.9990551257409591,0.9998438450727736,0.9993941058618239,-0.0004497392109497067
dos-hulk,46025,0.9985454387564587,0.9545454545454546,0.9993481803367735,0.0009125475285171103,0.9989466482782586,0.001823351928628796,-0.9971232963496298
dos-goldeneye,2059,0.9846669861044561,0.03750931522729155,0.9980573093734822,0.8800388538125303,0.9913169319826338,0.07195187325034248,-0.9193650587322914
ftp-patator,1587,1.0,0.30948191593352886,1.0,0.9974795211090107,1.0,0.4723962996120561,-0.5276037003879439
ssh-patator,1180,0.9983079526226735,0.0,1.0,0.0,0.9991532599491956,0.0,-0.9991532599491956
dos-slowloris,1159,0.9896640826873385,0.0,0.99137187230371,0.0,0.9905172413793103,0.0,-0.9905172413793103
dos-slowhttptest,1100,0.9767025089605734,0.0,0.990909090909091,0.0,0.983754512635379,0.0,-0.983754512635379
web-attack-brute-force,301,0.7558528428093646,0.0,0.7508305647840532,0.0,0.7533333333333333,0.0,-0.7533333333333333
web-attack-xss,130,0.4276315789473684,0.0,0.5,0.0,0.46099290780141844,0.0,-0.46099290780141844
infiltration,7,1.0,0.0,0.8571428571428571,0.0,0.9230769230769231,0.0,-0.9230769230769231
web-attack-sql-injection,4,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,-0.6666666666666666
heartbleed,2,0.5,0.006349206349206349,1.0,1.0,0.6666666666666666,0.012618296529968454,-0.6540483701366981
macro avg,425032,0.8859462695556964,0.19230160067905358,0.8822803133674842,0.3231238373492515,0.8695224114035467,0.12984866059856828,-0.7396737508049784
weighted avg,425032,0.9993105980011929,0.9784681612682392,0.999277701443656,0.881265410604378,0.9992916231556906,0.8757804365340812,-0.12351118662160943
