true_class,support,benign_gate_rate,all_reject_rate,DoS_Like_Known_accept_rate,DoS_Like_Known_selected_rate,DoS_Like_Known_margin,DoS_Like_Known_stability,Credential_Web_Like_Known_accept_rate,Credential_Web_Like_Known_selected_rate,Credential_Web_Like_Known_margin,Credential_Web_Like_Known_stability,Rare_Fallback_Known_accept_rate,Rare_Fallback_Known_selected_rate,Rare_Fallback_Known_margin,Rare_Fallback_Known_stability
dos-goldeneye,2059,0.0,0.0029140359397765905,0.9815444390480816,0.8810101991257893,3.764749050140381,0.8025045990943909,0.7673627974745022,0.10539096648858669,0.11511926352977753,0.7863367795944214,0.758135016998543,0.010684798445847498,0.5200889110565186,0.9994985461235046
dos-hulk,46025,0.0,0.0014557305812058663,0.9943726235741445,0.9877457903313417,4.08858060836792,0.8393989205360413,0.1999130907115698,0.009016838674633352,-0.20223699510097504,0.8276067972183228,0.7152417164584465,0.00178164041281912,2.3409652709960938,0.998305082321167
dos-slowhttptest,1100,0.0,0.019090909090909092,0.9254545454545454,0.2827272727272727,2.1220173835754395,0.22897709906101227,0.730909090909091,0.69,0.14253324270248413,0.9635401368141174,0.21545454545454545,0.008181818181818182,-1.0427627563476562,0.9992631673812866
dos-slowloris,1159,0.001725625539257981,0.0008628127696289905,0.8835202761000863,0.544434857635893,2.3005027770996094,0.6277517676353455,0.5314926660914582,0.359792924935289,0.13277015089988708,0.8712553977966309,0.4357204486626402,0.09318377911993098,-0.4485698640346527,0.9975740909576416
ftp-patator,1587,0.0,0.0,0.000630119722747322,0.0,-8.084263801574707,0.48502862453460693,1.0,1.0,3.345297336578369,0.9908362030982971,1.0,0.0,1.3799234628677368,0.9994602799415588
heartbleed,2,0.0,0.0,0.0,0.0,-7.040450572967529,0.763472855091095,0.0,0.0,-0.010318775661289692,0.9737522602081299,1.0,1.0,1.5445175170898438,0.7282612323760986
infiltration,7,0.2857142857142857,0.0,0.0,0.0,-5.969970703125,0.5037582516670227,0.2857142857142857,0.2857142857142857,-0.23531760275363922,0.5866771340370178,0.7142857142857143,0.42857142857142855,2.0063912868499756,0.7140819430351257
normal,371478,0.9990443579431353,0.0,0.0004953186998960908,0.0003930246205697242,-0.0018043176969513297,0.0006170886917971075,0.0006110725265022424,0.00036072122709824,0.00041986064752563834,0.0006868952768854797,0.0009152628150253851,0.00019112841137294807,0.0021972598042339087,0.0009441878064535558
ssh-patator,1180,0.0,0.0,0.001694915254237288,0.000847457627118644,-9.512810707092285,0.588886559009552,0.9991525423728813,0.9991525423728813,3.048449993133545,0.9981163144111633,0.9991525423728813,0.0,1.5597413778305054,0.999417781829834
web-attack-brute-force,301,0.0,0.0,0.059800664451827246,0.0,-6.1664910316467285,0.6075841784477234,0.9634551495016611,0.9634551495016611,0.49005481600761414,0.9472478032112122,0.9501661129568106,0.036544850498338874,1.0484870672225952,0.9996070265769958
web-attack-sql-injection,4,0.0,0.0,0.5,0.5,-2.6386301517486572,0.7791422605514526,0.75,0.5,0.03173800930380821,0.7645266056060791,1.0,0.0,2.456048011779785,0.9995728731155396
web-attack-xss,130,0.0,0.0,0.0,0.0,-7.0137763023376465,0.6083338856697083,0.9461538461538461,0.9461538461538461,0.24976228177547455,0.9016551971435547,0.9692307692307692,0.05384615384615385,1.0294722318649292,0.999680757522583
