context,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
ref(D_global),0.870702,0.010325,0.028595,0.065837,0.015061,0.009353,0.000126
C0,0.749958,0.036467,0.052396,0.052396,0.052386,0.052376,0.00402
expert1,0.066631,0.066631,0.066631,0.066631,0.066631,0.638041,0.028804
expert2,0.819086,0.107095,0.011285,0.021633,0.020833,0.016235,0.003834
