class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,45826,45826,0,3460072,3460072
bot,6,6,0,41422,41422
brute_force,0,0,0,37676,37676
ddos,48,48,0,246563,246563
dos,1,1,0,34623,34623
infiltration,38097,38097,0,11836,11836
web_attacks,106478,106478,0,466,466
