expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,17263,12761,17263,0,0,0,0,0,17160,103
2,1931017,12761,186000,160807,19286,242,2299,2140,1226,0
