K,beta,tune_expert_balanced_nll
2,0.0,1.016324
2,0.5,2.380632
2,1.0,5.075903
4,0.0,1.141164
4,0.5,3.043254
4,1.0,6.661652
8,0.0,1.145928
8,0.5,2.852623
8,1.0,6.588816
