run,scope,rows,proposed,proposal_rate,accepted,accept_rate_of_proposed,rejected_calls,wasted_call_rate,calls_per_sample_nominal
20260826_183417_nfv3_cic2018_exp23_raceguide,ALL,4023114,186404,0.046333,13107,0.070315,173297,0.929685,1.046333
20260826_183417_nfv3_cic2018_exp23_raceguide,benign,3502926,59152,0.016886,97,0.00164,59055,0.99836,1.016886
20260826_183417_nfv3_cic2018_exp23_raceguide,bot,41542,730,0.017573,0,0.0,730,1.0,1.017573
20260826_183417_nfv3_cic2018_exp23_raceguide,brute_force,115040,77344,0.672323,0,0.0,77344,1.0,1.672323
20260826_183417_nfv3_cic2018_exp23_raceguide,ddos,264872,7989,0.030162,0,0.0,7989,1.0,1.030162
20260826_183417_nfv3_cic2018_exp23_raceguide,dos,60594,39910,0.658646,12908,0.323428,27002,0.676572,1.658646
20260826_183417_nfv3_cic2018_exp23_raceguide,infiltration,37631,798,0.021206,63,0.078947,735,0.921053,1.021206
20260826_183417_nfv3_cic2018_exp23_raceguide,web_attacks,509,481,0.94499,39,0.081081,442,0.918919,1.94499
20260826_183417_nfv3_cic2018_exp23_raceguide,expert1,186404,186404,,13107,0.070315,173297,0.929685,
20260826_183417_nfv3_cic2018_exp23_raceguide,MEASURED_COMPUTE,,,,,,,,2.0234
