regime,rows,weighted_mass,mean_residual,block_rows,block=regime전체,kept(§12),benign,bot,brute_force,ddos,dos,infiltration,web_attacks
1,21068,0.1693,18.99,21068,True,True,0,0,0,0,21068,0,0
2,17610,0.3362,45.12,17610,True,False,0,0,17610,0,0,0,0
3,15645,0.2801,44.45,15645,True,False,0,0,0,0,0,15645,0
4,8951,0.1066,30.87,8951,True,False,414,0,0,0,8525,12,0
5,41497,0.0881,5.02,41497,True,False,25,0,39579,0,529,1364,0
6,1894565,0.0148,0.02,186000,False,False,1740554,20651,0,131674,0,1686,0
7,524,0.0022,18.75,524,True,False,412,0,0,0,0,0,112
8,140,0.0027,2354.05,140,True,False,0,0,0,0,0,0,140
