K,beta,tune_expert_balanced_nll
2,0.0,2.060099
2,0.5,3.48813
2,1.0,7.07067
4,0.0,1.88382
4,0.5,3.573144
4,1.0,7.311892
8,0.0,2.386257
8,0.5,3.724598
8,1.0,7.352411
