class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3493457,0,93,9376,4
bot,41542,41415,0,0,127,0
brute_force,115040,77344,0,0,37696,0
ddos,264872,214597,0,0,50275,0
dos,60594,19560,12908,0,28126,0
infiltration,37631,11952,0,3,25676,60
web_attacks,509,237,39,0,233,0
