class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,133961,120955,-13006,3493550,3493457
bot,5,5,0,41415,41415
brute_force,21110,21110,0,77344,77344
ddos,11,11,0,214597,214597
dos,0,0,0,19560,32468
infiltration,7289,7284,-5,11955,11952
web_attacks,2080,2240,160,237,276
