run,score,coverage,rows,balanced_error,classes_present,error_rate,macro_f1
20260826_183417_nfv3_cic2018_exp23_raceguide,system_maxprob,1.0,4023114,0.303938,7,0.037683,0.700052
20260826_183417_nfv3_cic2018_exp23_raceguide,system_maxprob,0.99,3982883,0.272341,7,0.032763,0.733715
20260826_183417_nfv3_cic2018_exp23_raceguide,system_maxprob,0.97,3902421,0.379739,7,0.031539,0.597517
20260826_183417_nfv3_cic2018_exp23_raceguide,system_maxprob,0.95,3821958,0.342919,7,0.026932,0.607679
20260826_183417_nfv3_cic2018_exp23_raceguide,system_maxprob,0.9,3620803,0.305687,7,0.019844,0.603982
20260826_183417_nfv3_cic2018_exp23_raceguide,system_maxprob,0.8,3218491,0.35356,7,0.006584,0.628938
20260826_183417_nfv3_cic2018_exp23_raceguide,system_maxprob,0.7,2816180,0.355296,7,0.005131,0.631387
20260826_183417_nfv3_cic2018_exp23_raceguide,system_maxprob,0.5,2011557,0.211847,6,0.001806,0.677655
20260826_183417_nfv3_cic2018_exp23_raceguide,system_maxprob,0.3,1206934,0.240559,6,0.000413,0.672906
20260826_183417_nfv3_cic2018_exp23_raceguide,system_maxprob,AURC_balanced,4023114,0.203204,7,,
20260826_183417_nfv3_cic2018_exp23_raceguide,global_maxprob,1.0,4023114,0.345301,7,0.040878,0.667738
20260826_183417_nfv3_cic2018_exp23_raceguide,global_maxprob,0.99,3982883,0.329974,7,0.03599,0.697085
20260826_183417_nfv3_cic2018_exp23_raceguide,global_maxprob,0.97,3902421,0.439896,7,0.034832,0.559682
20260826_183417_nfv3_cic2018_exp23_raceguide,global_maxprob,0.95,3821958,0.40979,7,0.030046,0.56966
20260826_183417_nfv3_cic2018_exp23_raceguide,global_maxprob,0.9,3620803,0.318493,7,0.020301,0.597441
20260826_183417_nfv3_cic2018_exp23_raceguide,global_maxprob,0.8,3218491,0.427007,7,0.00665,0.581291
20260826_183417_nfv3_cic2018_exp23_raceguide,global_maxprob,0.7,2816180,0.423179,7,0.005174,0.586611
20260826_183417_nfv3_cic2018_exp23_raceguide,global_maxprob,0.5,2011557,0.300122,6,0.001815,0.622304
20260826_183417_nfv3_cic2018_exp23_raceguide,global_maxprob,0.3,1206934,0.240705,6,0.000415,0.672836
20260826_183417_nfv3_cic2018_exp23_raceguide,global_maxprob,AURC_balanced,4023114,0.243976,7,,
20260826_183417_nfv3_cic2018_exp23_raceguide,system_glower,1.0,4023114,0.303938,7,0.037683,0.700052
20260826_183417_nfv3_cic2018_exp23_raceguide,system_glower,0.99,3982883,0.266238,7,0.037601,0.699753
20260826_183417_nfv3_cic2018_exp23_raceguide,system_glower,0.97,3902421,0.264611,7,0.031226,0.751117
20260826_183417_nfv3_cic2018_exp23_raceguide,system_glower,0.95,3821958,0.240553,7,0.026004,0.667133
20260826_183417_nfv3_cic2018_exp23_raceguide,system_glower,0.9,3620803,0.299617,7,0.014614,0.610007
20260826_183417_nfv3_cic2018_exp23_raceguide,system_glower,0.8,3218491,0.25052,4,0.002089,0.332384
20260826_183417_nfv3_cic2018_exp23_raceguide,system_glower,0.7,2816180,0.25054,4,0.002174,0.332378
20260826_183417_nfv3_cic2018_exp23_raceguide,system_glower,0.5,2011557,0.250541,4,0.002182,0.332378
20260826_183417_nfv3_cic2018_exp23_raceguide,system_glower,0.3,1206934,0.25051,4,0.002069,0.332387
20260826_183417_nfv3_cic2018_exp23_raceguide,system_glower,AURC_balanced,4023114,0.179488,7,,
