method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.6961,0.6635,0.0398,0.002703
global_tabpfn,4023114,0.6547,0.6362,0.0418,0.002677
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
