Expert,Epoch,Accuracy,F1_Score
0,1,0.9841290112850044,0.984100086649918
1,1,1.0,1.0
2,1,0.31528177356574716,0.16483110116016964
3,1,1.0,1.0
0,5,0.9832118144243719,0.983178807011533
1,5,1.0,1.0
2,5,0.39414452530038924,0.2261573226226361
3,5,1.0,1.0
0,10,0.9229322435331816,0.9218289129869469
1,10,1.0,1.0
2,10,0.25825012692502963,0.10600933253196912
3,10,1.0,1.0
0,15,0.44716249477546094,0.27633979937386177
1,15,1.0,1.0
2,15,0.25926552716195633,0.14489177839881812
3,15,1.0,1.0
0,20,0.4532461802814285,0.289561066390958
1,20,1.0,1.0
2,20,0.25825012692502963,0.10600933253196912
3,20,1.0,1.0
0,25,0.44716249477546094,0.27633979937386177
1,25,1.0,1.0
2,25,0.2472499576916568,0.13422935504376826
3,25,1.0,1.0
0,30,0.44716249477546094,0.27633979937386177
1,30,1.0,1.0
2,30,0.25825012692502963,0.10600933253196912
3,30,1.0,1.0
0,35,0.44716249477546094,0.27633979937386177
1,35,1.0,1.0
2,35,0.2589270604163141,0.10741377721718154
3,35,1.0,1.0
0,40,0.44716249477546094,0.27633979937386177
1,40,1.0,1.0
2,40,0.26256557793196816,0.11474810655100996
3,40,1.0,1.0
0,45,0.44716249477546094,0.27633979937386177
1,45,1.0,1.0
2,45,0.350905398544593,0.21533811343662015
3,45,1.0,1.0
0,50,0.44716249477546094,0.27633979937386177
1,50,1.0,1.0
2,50,0.2662887121340328,0.15195225686185646
3,50,1.0,1.0
