split,arm,stage,class,rows,bank_correctable,helpful,harmful
cal_select,legacy,top1_no_gates,benign,27455,118,8,4806
cal_select,legacy,top1_no_gates,bot,563,2,2,0
cal_select,legacy,top1_no_gates,brute_force,15811,0,0,0
cal_select,legacy,top1_no_gates,ddos,25740,1,1,0
cal_select,legacy,top1_no_gates,dos,14475,1,0,0
cal_select,legacy,top1_no_gates,infiltration,3280,2471,1587,6
cal_select,legacy,top1_no_gates,web_attacks,75,2,1,0
cal_select,legacy,post_gt0_no_pre_gate,benign,27455,118,0,3
cal_select,legacy,post_gt0_no_pre_gate,bot,563,2,0,0
cal_select,legacy,post_gt0_no_pre_gate,brute_force,15811,0,0,0
cal_select,legacy,post_gt0_no_pre_gate,ddos,25740,1,0,0
cal_select,legacy,post_gt0_no_pre_gate,dos,14475,1,0,0
cal_select,legacy,post_gt0_no_pre_gate,infiltration,3280,2471,2,0
cal_select,legacy,post_gt0_no_pre_gate,web_attacks,75,2,0,0
cal_select,legacy,original_final_policy,benign,27455,118,0,0
cal_select,legacy,original_final_policy,bot,563,2,0,0
cal_select,legacy,original_final_policy,brute_force,15811,0,0,0
cal_select,legacy,original_final_policy,ddos,25740,1,0,0
cal_select,legacy,original_final_policy,dos,14475,1,0,0
cal_select,legacy,original_final_policy,infiltration,3280,2471,0,0
cal_select,legacy,original_final_policy,web_attacks,75,2,0,0
cal_confirm,legacy,top1_no_gates,benign,11580,54,3,2000
cal_confirm,legacy,top1_no_gates,bot,173,0,0,0
cal_confirm,legacy,top1_no_gates,brute_force,6774,0,0,0
cal_confirm,legacy,top1_no_gates,ddos,9758,19,19,0
cal_confirm,legacy,top1_no_gates,dos,6165,0,0,0
cal_confirm,legacy,top1_no_gates,infiltration,1396,1050,703,3
cal_confirm,legacy,top1_no_gates,web_attacks,33,2,2,0
cal_confirm,legacy,post_gt0_no_pre_gate,benign,11580,54,0,2
cal_confirm,legacy,post_gt0_no_pre_gate,bot,173,0,0,0
cal_confirm,legacy,post_gt0_no_pre_gate,brute_force,6774,0,0,0
cal_confirm,legacy,post_gt0_no_pre_gate,ddos,9758,19,0,0
cal_confirm,legacy,post_gt0_no_pre_gate,dos,6165,0,0,0
cal_confirm,legacy,post_gt0_no_pre_gate,infiltration,1396,1050,2,0
cal_confirm,legacy,post_gt0_no_pre_gate,web_attacks,33,2,0,0
cal_confirm,legacy,original_final_policy,benign,11580,54,0,0
cal_confirm,legacy,original_final_policy,bot,173,0,0,0
cal_confirm,legacy,original_final_policy,brute_force,6774,0,0,0
cal_confirm,legacy,original_final_policy,ddos,9758,19,0,0
cal_confirm,legacy,original_final_policy,dos,6165,0,0,0
cal_confirm,legacy,original_final_policy,infiltration,1396,1050,0,0
cal_confirm,legacy,original_final_policy,web_attacks,33,2,0,0
full_test,legacy,top1_no_gates,benign,2652203,4151,462,385861
full_test,legacy,top1_no_gates,bot,41542,27,18,3
full_test,legacy,top1_no_gates,brute_force,37696,0,0,0
full_test,legacy,top1_no_gates,ddos,262680,462,462,1
full_test,legacy,top1_no_gates,dos,39483,55,51,18
full_test,legacy,top1_no_gates,infiltration,8742,5375,3096,27
full_test,legacy,top1_no_gates,web_attacks,127,15,12,22
full_test,legacy,post_gt0_no_pre_gate,benign,2652203,4151,0,116
full_test,legacy,post_gt0_no_pre_gate,bot,41542,27,0,0
full_test,legacy,post_gt0_no_pre_gate,brute_force,37696,0,0,0
full_test,legacy,post_gt0_no_pre_gate,ddos,262680,462,0,0
full_test,legacy,post_gt0_no_pre_gate,dos,39483,55,0,0
full_test,legacy,post_gt0_no_pre_gate,infiltration,8742,5375,8,0
full_test,legacy,post_gt0_no_pre_gate,web_attacks,127,15,0,20
full_test,legacy,original_final_policy,benign,2652203,4151,0,0
full_test,legacy,original_final_policy,bot,41542,27,0,0
full_test,legacy,original_final_policy,brute_force,37696,0,0,0
full_test,legacy,original_final_policy,ddos,262680,462,0,0
full_test,legacy,original_final_policy,dos,39483,55,0,0
full_test,legacy,original_final_policy,infiltration,8742,5375,0,0
full_test,legacy,original_final_policy,web_attacks,127,15,0,0
