split,arm,stage,rows,bank_correctable,helpful,harmful,changed,correctable_recovery,diagnostic_only,uses_all_expert_post_information
cal_select,legacy,top1_no_gates,87399,2595,1599,4812,6419,0.6161849710982659,True,False
cal_select,legacy,post_gt0_no_pre_gate,87399,2595,2,3,5,0.0007707129094412332,True,False
cal_select,legacy,original_final_policy,87399,2595,0,0,0,0.0,False,False
cal_confirm,legacy,top1_no_gates,35879,1125,727,2003,2740,0.6462222222222223,True,False
cal_confirm,legacy,post_gt0_no_pre_gate,35879,1125,2,2,4,0.0017777777777777779,True,False
cal_confirm,legacy,original_final_policy,35879,1125,0,0,0,0.0,False,False
full_test,legacy,top1_no_gates,3042473,10085,4101,385932,390280,0.40664352999504216,True,False
full_test,legacy,post_gt0_no_pre_gate,3042473,10085,8,136,144,0.0007932573128408527,True,False
full_test,legacy,original_final_policy,3042473,10085,0,0,0,0.0,False,False
