budget,train_rows,fit_s,macro_f1,tail_f1,weighted_f1,brute_f1,ddos_f1,recall_ftp_bruteforce,recall_ssh_bruteforce
c0,1000000,525.2,0.728331,0.53411,0.974454,0.724554,0.99973,1.0,0.0
c0+dos_attacks_hulk:50,1000050,526.8,0.727449,0.532813,0.974046,0.724554,0.997706,1.0,0.0
c0+dos_attacks_hulk:200,1000200,1235.9,0.727557,0.532484,0.974294,0.724554,0.999301,1.0,0.0
c0+dos_attacks_hulk:1000,1001000,790.8,0.725594,0.529061,0.973617,0.724554,0.996275,1.0,0.0
c0+sql_injection:50,1000050,1117.9,0.727592,0.534238,0.973825,0.724554,0.994529,1.0,0.0
c0+sql_injection:117,1000117,524.5,0.726795,0.532245,0.973727,0.724554,0.995007,1.0,0.0
