budget,scenario,rows,class,recall
c0,benign,3502926,benign,0.997651
c0,bot,41542,bot,0.995282
c0,brute_force_web,325,web_attacks,0.221538
c0,brute_force_xss,96,web_attacks,0.916667
c0,ddos_attack_hoic,206463,ddos,0.999971
c0,ddos_attack_loic_udp,690,ddos,1.0
c0,ddos_attacks_loic_http,57719,ddos,1.0
c0,dos_attacks_goldeneye,12260,dos,1.0
c0,dos_attacks_hulk,20016,dos,0.998751
c0,dos_attacks_slowhttptest,21110,dos,0.0
c0,dos_attacks_slowloris,7208,dos,0.922586
c0,ftp_bruteforce,77344,brute_force,1.0
c0,infilteration,37631,infiltration,0.321065
c0,sql_injection,88,web_attacks,0.943182
c0,ssh_bruteforce,37696,brute_force,0.0
c0+dos_attacks_hulk:50,benign,3502926,benign,0.997433
c0+dos_attacks_hulk:50,bot,41542,bot,0.995234
c0+dos_attacks_hulk:50,brute_force_web,325,web_attacks,0.221538
c0+dos_attacks_hulk:50,brute_force_xss,96,web_attacks,0.916667
c0+dos_attacks_hulk:50,ddos_attack_hoic,206463,ddos,0.994788
c0+dos_attacks_hulk:50,ddos_attack_loic_udp,690,ddos,1.0
c0+dos_attacks_hulk:50,ddos_attacks_loic_http,57719,ddos,1.0
c0+dos_attacks_hulk:50,dos_attacks_goldeneye,12260,dos,1.0
c0+dos_attacks_hulk:50,dos_attacks_hulk,20016,dos,0.998751
c0+dos_attacks_hulk:50,dos_attacks_slowhttptest,21110,dos,0.0
c0+dos_attacks_hulk:50,dos_attacks_slowloris,7208,dos,0.922586
c0+dos_attacks_hulk:50,ftp_bruteforce,77344,brute_force,1.0
c0+dos_attacks_hulk:50,infilteration,37631,infiltration,0.321384
c0+dos_attacks_hulk:50,sql_injection,88,web_attacks,0.977273
c0+dos_attacks_hulk:50,ssh_bruteforce,37696,brute_force,0.0
c0+dos_attacks_hulk:200,benign,3502926,benign,0.997512
c0+dos_attacks_hulk:200,bot,41542,bot,0.995282
c0+dos_attacks_hulk:200,brute_force_web,325,web_attacks,0.227692
c0+dos_attacks_hulk:200,brute_force_xss,96,web_attacks,0.916667
c0+dos_attacks_hulk:200,ddos_attack_hoic,206463,ddos,0.998876
c0+dos_attacks_hulk:200,ddos_attack_loic_udp,690,ddos,1.0
c0+dos_attacks_hulk:200,ddos_attacks_loic_http,57719,ddos,0.999983
c0+dos_attacks_hulk:200,dos_attacks_goldeneye,12260,dos,1.0
c0+dos_attacks_hulk:200,dos_attacks_hulk,20016,dos,0.998751
c0+dos_attacks_hulk:200,dos_attacks_slowhttptest,21110,dos,0.0
c0+dos_attacks_hulk:200,dos_attacks_slowloris,7208,dos,0.922586
c0+dos_attacks_hulk:200,ftp_bruteforce,77344,brute_force,1.0
c0+dos_attacks_hulk:200,infilteration,37631,infiltration,0.32048
c0+dos_attacks_hulk:200,sql_injection,88,web_attacks,0.909091
c0+dos_attacks_hulk:200,ssh_bruteforce,37696,brute_force,0.0
c0+dos_attacks_hulk:1000,benign,3502926,benign,0.99706
c0+dos_attacks_hulk:1000,bot,41542,bot,0.995282
c0+dos_attacks_hulk:1000,brute_force_web,325,web_attacks,0.224615
c0+dos_attacks_hulk:1000,brute_force_xss,96,web_attacks,0.916667
c0+dos_attacks_hulk:1000,ddos_attack_hoic,206463,ddos,0.991146
c0+dos_attacks_hulk:1000,ddos_attack_loic_udp,690,ddos,1.0
c0+dos_attacks_hulk:1000,ddos_attacks_loic_http,57719,ddos,0.999965
c0+dos_attacks_hulk:1000,dos_attacks_goldeneye,12260,dos,1.0
c0+dos_attacks_hulk:1000,dos_attacks_hulk,20016,dos,0.998751
c0+dos_attacks_hulk:1000,dos_attacks_slowhttptest,21110,dos,0.0
c0+dos_attacks_hulk:1000,dos_attacks_slowloris,7208,dos,0.922586
c0+dos_attacks_hulk:1000,ftp_bruteforce,77344,brute_force,1.0
c0+dos_attacks_hulk:1000,infilteration,37631,infiltration,0.322208
c0+dos_attacks_hulk:1000,sql_injection,88,web_attacks,0.920455
c0+dos_attacks_hulk:1000,ssh_bruteforce,37696,brute_force,0.0
c0+sql_injection:50,benign,3502926,benign,0.997722
c0+sql_injection:50,bot,41542,bot,0.995282
