round,expert,coverage,regime_tune_rows,marginal,action
0,1,0.7226,0,,dropped(min-support)
0,2,0.6988,12,,dropped(min-support)
0,5,0.0913,0,,dropped(min-support)
0,3,0.6596,882,0.7572,kept(prune off)
0,4,0.2229,82663,0.0018,kept(prune off)
0,6,0.7053,305,0.0467,kept(prune off)
0,7,0.6736,1680,7.5283,kept(prune off)
0,8,0.0782,87,0.0,kept(prune off)
