class,rows,proposed,accepted
benign,3502926,77289,12144
bot,41542,40899,40638
brute_force,115040,77344,77344
ddos,264872,141359,137305
dos,60594,49030,43221
infiltration,37631,11613,8674
web_attacks,509,3,0
