round,expert,coverage,regime_tune_rows,marginal,action
0,3,0.8381,20,,dropped(min-support)
0,1,0.0053,50000,0.0,kept(prune off)
0,2,0.0101,259,0.0527,kept(prune off)
0,4,0.6326,50371,0.073,kept(prune off)
