cluster,rows,weighted_mass,mean_residual,benign,ddos,dos,reconnaissance,theft
0,293176,0.5645879542236245,0.7128440881315017,0,293159,0,17,0
1,1665541,0.29660554931177424,0.0657088449545777,304,590295,946314,128628,0
2,41201,0.13846633360117142,1.7135322127275154,1716,0,39484,1,0
