expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,150725,normgain,0.9963,7,554,0.5459,0.9931
2,150725,normgain,0.9934,3,989,0.6057,0.9719
3,150725,normgain,0.9618,634,5128,0.6899,0.8758
