class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,7475,6808,0,0,667,0
ddos,1425033,0,0,0,1425033,0
dos,1576325,461,0,0,1575864,0
reconnaissance,266491,266430,0,0,61,0
theft,81,78,0,0,3,0
