K,beta,tune_expert_balanced_nll
2,0.0,3.40776
2,0.5,3.61404
2,1.0,4.522397
4,0.0,4.030988
4,0.5,4.714237
4,1.0,5.965315
8,0.0,4.047019
8,0.5,4.859557
8,1.0,6.491866
