class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,2952983,2952983,0,6808,6808
ddos,5,5,0,0,0
dos,147,147,0,461,461
reconnaissance,48459,48459,0,266430,266430
theft,34,34,0,78,78
