expert,regime_rows,anchor_rows,block_rows,benign,ddos,dos,reconnaissance,theft
anchor(shared),0,8194,0,2000,2000,2000,2000,194
1,293176,8194,186000,0,185984,0,16,0
2,1665541,8194,186000,90,57164,104273,24473,0
3,41201,8194,41201,1716,0,39484,1,0
