role,branch,count,share_of_role,accuracy
known,all_out,5379,0.014030868432241522,0.0
known,argmin,46169,0.12042966437035858,0.9983538738114319
known,owner_only,331821,0.8655394671973999,0.8124802227707107
known,ALL,383369,1.0,0.8234651210713438
unseen,all_out,45819,0.25980970310054663,1.0
unseen,argmin,23347,0.13238562906847512,0.0
unseen,owner_only,107190,0.6078046678309782,0.0
unseen,ALL,176356,1.0,0.25980970310054663
benign,all_out,2934,0.02934,0.0
benign,argmin,3786,0.03786,0.0
benign,owner_only,93280,0.9328,0.9532482847341338
benign,ALL,100000,1.0,0.88919
