true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
backdoor,target known,stealth_malware,40678,0.0029499975416687153,0.9970500024583313,0.0,0.0,0.9970500024583313
ddos,target known,flood,100000,0.01723,0.98266,0.00011,0.0,0.98277
dos,target known,flood,40692,0.10260001965988401,0.897399980340116,0.0,0.0,0.897399980340116
mitm,target known,stealth_malware,1204,0.9958471760797342,0.0,0.004152823920265781,0.0,0.004152823920265781
password,target known,probe_access,100000,0.00382,0.99604,0.00014,0.0,0.99618
ransomware,target known,stealth_malware,795,0.969811320754717,0.0,0.03018867924528302,0.0,0.03018867924528302
scanning,target known,probe_access,100000,0.59012,0.40883,0.00105,0.0,0.40988
unseen::xss,target unseen,,100000,0.67465,,0.32535,0.0,0.32535
unseen::injection,target unseen,,76356,0.6131279794646132,,0.3868720205353869,0.0,0.3868720205353869
benign_diagnostic,benign diagnostic,,100000,0.49417,,0.50583,0.0,0.50583
