class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),_footer,delta_f1
benign,454537,0.9999713636834233,1.0,0.9987217762250378,0.7104768148687566,0.999346179331782,0.8307353934210103,,-0.16861078591077172
dos-hulk,46025,0.9978739098364212,0.9124396764225948,0.999369907658881,0.571015752308528,0.9986213484731705,0.7024375902068745,,-0.29618375826629606
portscan,31786,0.9935899440292674,0.37057150876850414,0.9996853960863273,0.9552947838671113,0.9966283500870357,0.5339980831288964,,-0.46263026695813925
ddos,25606,0.999336507688705,0.2642389911659586,0.9999609466531282,0.7651331719128329,0.999648629655657,0.3928181171116079,,-0.6068305125440492
dos-goldeneye,2059,0.9804482594182165,0.9287901990811639,0.9985429820301117,0.5891209324915008,0.9894128970163619,0.7209509658246657,,-0.26846193119169626
ftp-patator,1588,0.9993702770780857,0.6148782093482554,0.9993702770780857,0.5881612090680101,0.9993702770780857,0.6012230447376891,,-0.3981472323403966
ssh-patator,1179,0.9991525423728813,0.012856823432958187,1.0,0.5852417302798982,0.9995760915642221,0.025160902145969697,,-0.9744151894182524
dos-slowloris,1159,0.9813084112149533,0.8617200674536256,0.996548748921484,0.44089732528041414,0.9888698630136986,0.5833333333333334,,-0.40553652968036524
dos-slowhttptest,1100,0.983754512635379,0.6983758700696056,0.990909090909091,0.2736363636363636,0.9873188405797102,0.3932070542129327,,-0.5941117863667775
bot,393,0.6582064297800339,0.04932735426008968,0.989821882951654,0.05597964376590331,0.790650406504065,0.052443384982121574,,-0.7382070215219435
web-attack-�-brute-force,302,0.7598566308243727,0.6666666666666666,0.7019867549668874,0.006622516556291391,0.729776247848537,0.013114754098360656,,-0.7166614937501764
web-attack-�-xss,130,0.384180790960452,0.0,0.5230769230769231,0.0,0.44299674267100975,0.0,,-0.44299674267100975
infiltration,7,0.875,0.0,1.0,0.0,0.9333333333333333,0.0,,-0.9333333333333333
web-attack-�-sql-injection,4,0.25,0.0,0.25,0.0,0.25,0.0,,-0.25
heartbleed,2,1.0,0.0,1.0,0.0,1.0,0.0,,-1.0
macro avg,565877,0.8574699719681461,0.4253243577779615,0.8965329791038407,0.3694386829357073,0.8737032804771113,0.32329484154689747,True,-0.5504084389302139
weighted avg,565877,0.9987555980715226,0.9188723971867643,0.9985897995500789,0.7119020564539644,0.9986450883045355,0.7785505583759048,True,-0.22009452992863066
